     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        73    0.1224000000E+01    0.1361048847E+01   -0.3501210282E+01    0.8240879073E-01
        74    0.2324000000E+01    0.2060261964E+01   -0.3512644651E+01    0.1272235235E+00
        75    0.4387000000E+01    0.4216848230E+01   -0.7023923504E+01    0.1203849236E+00
        76    0.4678000000E+01    0.4827307903E+01   -0.7740514394E+01    0.1300230187E+00
        77    0.2295000000E+01    0.2385918066E+01   -0.4222075651E+01    0.1187121081E+00
        78    0.4627000000E+01    0.4448495401E+01   -0.8071514768E+01    0.9167192761E-01
        79    0.9270000000E+00    0.1224980848E+01   -0.3536502742E+01    0.7212208712E-01
        80    0.2239000000E+01    0.2133618026E+01   -0.3626506439E+01    0.1272235235E+00
        81    0.1969000000E+01    0.1652877795E+01   -0.3424503104E+01    0.1045133135E+00
        82    0.1772000000E+01    0.1596159208E+01   -0.4103644838E+01    0.7249739999E-01
        83    0.4872000000E+01    0.4930296300E+01   -0.8477021525E+01    0.1059582402E+00
        84    0.1869000000E+01    0.2073839771E+01   -0.3691322059E+01    0.1206464696E+00
        85    0.1570000000E+01    0.1596159208E+01   -0.4103644838E+01    0.7249739999E-01
        86    0.2417000000E+01    0.2244804318E+01   -0.3986378902E+01    0.1194074823E+00
        87    0.2190000000E+01    0.2208778360E+01   -0.4228952763E+01    0.1069507913E+00
        88    0.2038000000E+01    0.2154061125E+01   -0.3712380429E+01    0.1249640439E+00
        89    0.4712000000E+01    0.4318275809E+01   -0.8239563207E+01    0.7622388659E-01
        90    0.2419000000E+01    0.2537055109E+01   -0.4371138053E+01    0.1222814220E+00
        91    0.2139000000E+01    0.2113861498E+01   -0.3884138904E+01    0.1151922682E+00
        92    0.1987000000E+01    0.2035614439E+01   -0.3739336098E+01    0.1161666814E+00
        93    0.1608000000E+01    0.1488556294E+01   -0.3983774964E+01    0.7052977085E-01
        94    0.1714000000E+01    0.1870611980E+01   -0.3752473832E+01    0.1049302932E+00
        95    0.2256000000E+01    0.2177714487E+01   -0.3882243431E+01    0.1194074823E+00
        96    0.2021000000E+01    0.2200139448E+01   -0.4304089763E+01    0.1032555845E+00
        97    0.4112000000E+01    0.3901185431E+01   -0.6668658138E+01    0.1147636240E+00
        98    0.2094000000E+01    0.1985421724E+01   -0.3999758716E+01    0.1020474668E+00
        99    0.2078000000E+01    0.1955944580E+01   -0.3947225074E+01    0.1023304021E+00
       100    0.3054000000E+01    0.3455160819E+01   -0.6595995307E+01    0.8890450052E-01
       101    0.1732000000E+01    0.2049397677E+01   -0.4793375199E+01    0.7307234900E-01
       102    0.2103000000E+01    0.2220116151E+01   -0.4062584545E+01    0.1146280797E+00
       103    0.2719000000E+01    0.2834087573E+01   -0.5569662451E+01    0.9150505403E-01
       104    0.1339000000E+01    0.1307834663E+01   -0.3502192554E+01    0.7892082073E-01
       105    0.2198000000E+01    0.1856645174E+01   -0.3677288617E+01    0.1071632143E+00
       106    0.5139000000E+01    0.4926873641E+01   -0.8002357138E+01    0.1255452250E+00
       107    0.1458000000E+01    0.1546557228E+01   -0.3574654912E+01    0.9136020691E-01
       108    0.3321000000E+01    0.3698101807E+01   -0.6816853131E+01    0.9542429932E-01
       109    0.1588000000E+01    0.1660191787E+01   -0.3907664270E+01    0.8482380441E-01
       110    0.2192000000E+01    0.1935148547E+01   -0.3999304486E+01    0.9880995018E-01
       111    0.4837000000E+01    0.4491092624E+01   -0.8363209404E+01    0.8225818835E-01
       112    0.1942000000E+01    0.2126350316E+01   -0.4011945407E+01    0.1106676185E+00
