     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        92    0.4530000000E+00    0.4725687145E+00    0.1203989322E+04   -0.6297520404E+01   -0.4585231959E+00
        93   -0.6800000000E-01    0.2170573473E+00    0.1227996661E+04    0.9149098267E+00   -0.4585231959E+00
        94    0.6930000000E+00    0.8148018771E+00    0.1316830526E+04   -0.1354333466E+02   -0.8620420544E+00
        95    0.7990000000E+00    0.7360477201E+00    0.1368518347E+04   -0.8147749413E+01   -0.6362927771E+00
        96    0.1131000000E+01    0.1328510566E+01    0.2145214217E+04   -0.2187369753E+01   -0.1688137400E+01
        97    0.3180000000E+00    0.2368849396E+00    0.1199471800E+04    0.3498671609E+01    0.1298405099E+00
        98    0.1782000000E+01    0.1545998902E+01    0.2050716683E+04   -0.9423252281E+00   -0.2469281881E+00
        99    0.5400000000E-01    0.4504570815E-01    0.1379180694E+04    0.1136072119E+02   -0.3553063595E+00
       100   -0.4800000000E-01    0.1065694962E+00    0.1410956988E+04    0.1097872788E+02   -0.3553063595E+00
       101    0.1730000000E+01    0.1579113365E+01    0.2045512587E+04   -0.1703667846E+00    0.8500879573E-02
       102    0.6020000000E+00    0.4243267730E+00    0.1217873018E+04   -0.6403506736E+01   -0.7172258302E+00
       103    0.8210000000E+00    0.8810319534E+00    0.1578225871E+04   -0.5412685431E+01   -0.8122707887E+00
       104    0.1418000000E+01    0.1704860953E+01    0.2033400432E+04   -0.7072550256E+01   -0.4704785354E+00
       105    0.1268000000E+01    0.1338638012E+01    0.2076524721E+04    0.5261348908E+01   -0.2294033423E+00
       106    0.2580000000E+01    0.2441383066E+01    0.2678114853E+04   -0.2269530486E+01   -0.4930608263E+00
       107    0.4030000000E+00    0.4717384834E+00    0.1206870007E+04   -0.6172993533E+01   -0.4585231959E+00
       108    0.2000000000E+00    0.2845392804E+00    0.1179079997E+04   -0.2525639829E+01   -0.4585231959E+00
       109    0.7990000000E+00    0.8268795385E+00    0.1304812373E+04   -0.1427681487E+02   -0.8620420544E+00
       110    0.8730000000E+00    0.8308041527E+00    0.1587775832E+04   -0.5536231911E+00   -0.3440281975E+00
       111    0.1713000000E+01    0.1724060732E+01    0.2311186542E+04   -0.2279893623E+01   -0.1151281421E+01
       112    0.1108000000E+01    0.8615754591E+00    0.1585319750E+04   -0.1406523277E+01   -0.3440281975E+00
       113    0.2252000000E+01    0.2219622175E+01    0.2611346490E+04    0.2739631415E+00   -0.5728037854E+00
       114    0.5090000000E+00    0.3190106514E+00    0.1389898279E+04    0.2981951655E+01   -0.6362927771E+00
