Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4110000000E+03    0.3987373936E+03    0.1226260635E+02
    0.5500000000E+03    0.6130127949E+03   -0.6301279494E+02
    0.4380000000E+03    0.3994686343E+03    0.3853136570E+02
    0.3950000000E+03    0.4347318340E+03   -0.3973183401E+02
    0.4510000000E+03    0.4755248868E+03   -0.2452488682E+02
    0.5040000000E+03    0.4822901894E+03    0.2170981061E+02
    0.4770000000E+03    0.4961441873E+03   -0.1914418730E+02
    0.5220000000E+03    0.5498553135E+03   -0.2785531350E+02
    0.5500000000E+03    0.5425299357E+03    0.7470064316E+01
    0.5620000000E+03    0.5589639782E+03    0.3036021818E+01
    0.5630000000E+03    0.5291932835E+03    0.3380671646E+02
    0.3250000000E+03    0.3527819047E+03   -0.2778190469E+02
    0.6150000000E+03    0.6069280596E+03    0.8071940416E+01
    0.4190000000E+03    0.4089059884E+03    0.1009401162E+02
    0.4910000000E+03    0.4781161075E+03    0.1288389246E+02
    0.5000000000E+03    0.5493666011E+03   -0.4936660111E+02
    0.4110000000E+03    0.4022479559E+03    0.8752044081E+01
    0.5260000000E+03    0.5430659848E+03   -0.1706598479E+02
    0.3850000000E+03    0.4030765081E+03   -0.1807650805E+02
    0.3850000000E+03    0.3547324115E+03    0.3026758854E+02
    0.1086000000E+04    0.1054757812E+04    0.3124218790E+02
    0.4900000000E+03    0.4916735994E+03   -0.1673599393E+01
    0.5700000000E+03    0.5730115467E+03   -0.3011546721E+01
    0.1002000000E+04    0.9053122640E+03    0.9668773601E+02
    0.5500000000E+03    0.5207749093E+03    0.2922509072E+02
    0.2450000000E+03    0.1976977999E+03    0.4730220011E+02
    0.4960000000E+03    0.4813418457E+03    0.1465815432E+02
    0.3620000000E+03    0.3487599856E+03    0.1324001441E+02
    0.5630000000E+03    0.5449865386E+03    0.1801346139E+02
    0.5430000000E+03    0.5568582560E+03   -0.1385825597E+02
    0.4630000000E+03    0.4756288066E+03   -0.1262880663E+02
    0.8760000000E+03    0.1006207111E+04   -0.1302071105E+03
    0.3650000000E+03    0.3670881741E+03   -0.2088174083E+01
    0.5820000000E+03    0.6120807394E+03   -0.3008073942E+02
    0.4190000000E+03    0.4413621772E+03   -0.2236217716E+02
    0.5230000000E+03    0.4897001824E+03    0.3329981764E+02
    0.5020000000E+03    0.4628984527E+03    0.3910154730E+02
    0.3880000000E+03    0.3834846218E+03    0.4515378159E+01
    0.4540000000E+03    0.4269282446E+03    0.2707175536E+02
    0.5100000000E+03    0.4789644521E+03    0.3103554792E+02
    0.4690000000E+03    0.4684152004E+03    0.5847996151E+00
    0.5760000000E+03    0.5323874703E+03    0.4361252973E+02
    0.4370000000E+03    0.4449998738E+03   -0.7999873825E+01
    0.4830000000E+03    0.4848159875E+03   -0.1815987477E+01
    0.9860000000E+03    0.1008355834E+04   -0.2235583354E+02
    0.3630000000E+03    0.3841768889E+03   -0.2117688891E+02
    0.6350000000E+03    0.5848715543E+03    0.5012844573E+02
    0.4900000000E+03    0.5109764486E+03   -0.2097644860E+02
    0.4040000000E+03    0.3992267016E+03    0.4773298411E+01
    0.5490000000E+03    0.5788651474E+03   -0.2986514741E+02
    0.7810000000E+03    0.7723410141E+03    0.8658985937E+01
    0.5350000000E+03    0.5481682415E+03   -0.1316824145E+02
    0.5020000000E+03    0.5123565145E+03   -0.1035651451E+02
    0.4960000000E+03    0.5044815617E+03   -0.8481561714E+01
    0.3650000000E+03    0.3899736975E+03   -0.2497369754E+02
    0.4150000000E+03    0.4415476684E+03   -0.2654766837E+02
    0.5170000000E+03    0.4854382331E+03    0.3156176687E+02
    0.4120000000E+03    0.4149484245E+03   -0.2948424530E+01
    0.5650000000E+03    0.5647382980E+03    0.2617020321E+00
    0.5850000000E+03    0.5382833635E+03    0.4671663652E+02
    0.5370000000E+03    0.5453686190E+03   -0.8368619010E+01
    0.4800000000E+03    0.5179421569E+03   -0.3794215692E+02
    0.4950000000E+03    0.5168760298E+03   -0.2187602976E+02
    0.5310000000E+03    0.5344810502E+03   -0.3481050247E+01
    0.4450000000E+03    0.4578067117E+03   -0.1280671171E+02
    0.5920000000E+03    0.5312674803E+03    0.6073251975E+02
    0.5830000000E+03    0.5741837706E+03    0.8816229388E+01
    0.4180000000E+03    0.4135496492E+03    0.4450350786E+01
    0.4790000000E+03    0.5183534063E+03   -0.3935340627E+02
    0.6250000000E+03    0.5729483339E+03    0.5205166605E+02
    0.4570000000E+03    0.4790278686E+03   -0.2202786862E+02
    0.5830000000E+03    0.5460690258E+03    0.3693097423E+02
    0.4110000000E+03    0.4013483237E+03    0.9651676261E+01
Prediction RMSE and MaxAE:        33.1770308571      130.2071105269
Predictions (y,pred,y-pred) by the model of dimension:     4
    0.7400000000E+03    0.7308485577E+03    0.9151442329E+01
    0.6380000000E+03    0.5944235492E+03    0.4357645080E+02
    0.6000000000E+03    0.5964993935E+03    0.3500606528E+01
    0.5240000000E+03    0.5386547955E+03   -0.1465479551E+02
    0.5240000000E+03    0.5233053372E+03    0.6946628146E+00
    0.4920000000E+03    0.5317355400E+03   -0.3973553995E+02
    0.5160000000E+03    0.5386343600E+03   -0.2263435999E+02
    0.3820000000E+03    0.3853950933E+03   -0.3395093276E+01
    0.5900000000E+03    0.5607248121E+03    0.2927518787E+02
    0.5240000000E+03    0.5362054117E+03   -0.1220541174E+02
    0.6980000000E+03    0.8114320857E+03   -0.1134320857E+03
