     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4
       116    0.1002000000E+01    0.9451212305E+00   -0.1549544133E+00   -0.6344965502E+00    0.8299976423E+00    0.2542048123E+00
       117    0.2036000000E+01    0.2059541815E+01   -0.2561332328E+01   -0.7640209438E+00    0.6457427874E+00    0.3742381813E-03
       118    0.1970000000E+01    0.1970015342E+01   -0.2457189226E+01   -0.7825801570E+00    0.8689088294E+00    0.3533657022E-02
       119    0.9900000000E+00    0.9514140341E+00   -0.1561804938E+00   -0.5432445082E+00    0.9948827983E+00    0.2556088496E-03
       120    0.1568000000E+01    0.1559356138E+01   -0.1588274425E+01   -0.9191054820E+00    0.7015705919E+00    0.6127523246E-04
       121    0.3570000000E+00    0.3075197063E+00   -0.3944091723E+00   -0.2941455758E+01    0.9821109998E+00    0.3501518292E+01
       122    0.1081000000E+01    0.1129095886E+01   -0.6423795891E+00   -0.9830057803E+00    0.5536520302E+00    0.1045851229E-01
       123    0.8440000000E+00    0.8465661510E+00   -0.3737447151E+00   -0.1054006047E+01    0.9724521574E+00    0.2266154956E+01
       124    0.1413000000E+01    0.1210624582E+01   -0.7132302822E+00   -0.8015277901E+00    0.5536520302E+00    0.1167277380E-01
       125    0.9410000000E+00    0.8710271698E+00   -0.2056788866E+00   -0.9635310522E+00    0.9305732343E+00    0.1893812785E-01
       126    0.2633000000E+01    0.2536951670E+01   -0.3643148835E+01   -0.9833397613E+00    0.4183648419E+00    0.5662209490E-02
       127    0.2627000000E+01    0.2560201118E+01   -0.3891503646E+01   -0.1128493764E+01    0.7357576500E+00    0.2755255078E-01
       128    0.9880000000E+00    0.8569383972E+00   -0.2629396596E+00   -0.1216565235E+01    0.7647274409E+00    0.8026333410E-03
       129    0.7880000000E+00    0.7906638409E+00   -0.2328486953E+00   -0.1288901546E+01    0.9651268068E+00    0.9592303600E-02
       130    0.1152000000E+01    0.1140278831E+01   -0.4618028120E+00   -0.7066631450E+00    0.4306171578E+00    0.5447343091E-02
       131    0.2045000000E+01    0.2072077511E+01   -0.2698225282E+01   -0.7825801570E+00    0.8601713726E+00    0.3417718807E+00
       132    0.1115000000E+01    0.1066842816E+01   -0.3969552811E+00   -0.8683572544E+00    0.4306171578E+00    0.4384273553E-02
       133    0.1234000000E+01    0.9928558962E+00   -0.5369638539E+00   -0.7665498522E+00    0.9724521574E+00    0.2470875466E+01
       134    0.1064000000E+01    0.1132172068E+01   -0.4058016617E+00   -0.6407877670E+00    0.4306171578E+00    0.4709468465E-02
       135    0.8030000000E+00    0.7978113311E+00   -0.1510590333E+00   -0.1177649064E+01    0.6813765137E+00    0.9994001500E+00
       136    0.9540000000E+00    0.8552107560E+00   -0.1339053904E+00   -0.8972564295E+00    0.9305732343E+00    0.3510574534E-01
       137    0.8040000000E+00    0.9905854271E+00   -0.1923921083E+00   -0.6623865084E+00    0.6600082422E+00    0.5406378045E-03
       138    0.6960000000E+00    0.7982364527E+00   -0.6358055357E+00   -0.1073744775E+01    0.9821109998E+00    0.7415384626E+01
       139    0.2311000000E+01    0.2325607956E+01   -0.3603688694E+01   -0.1446538489E+01    0.7529163151E+00    0.4483953982E+00
       140    0.8890000000E+00    0.9544431735E+00   -0.2493354030E+00   -0.6933345137E+00    0.6813765137E+00    0.1605211045E+01
       141    0.2576000000E+01    0.2555546596E+01   -0.3731879373E+01   -0.9467692743E+00    0.6031675361E+00    0.7328971742E-01
       142    0.1380000000E+01    0.1169634208E+01   -0.6729071964E+00   -0.8847052023E+00    0.5536520302E+00    0.1105175261E-01
       143    0.9850000000E+00    0.9205727446E+00   -0.1722507008E+00   -0.7460563832E+00    0.8299976423E+00    0.3336861376E+00
